S.No,Na,SO42-,NH4+,NO3-,Cl-,Ca,K+,Mg,RH ,Temp ©,Temp,ALWC
1,51.22531763,1124.745579,1160.199897,2690.280354,44.90933203,123.0436431,46.26628942,11.97272893,91.8034,7.76547,280.91547,17590
2,89.8511436,1520.415825,843.315551,1591.287352,77.87930356,150.5755374,223.7823174,27.3731928,86.7021,10.7219,283.8719,7957
3,125.5660209,2476.84503,2043.878547,6164.617797,247.69872,423.8016611,389.0676111,54.1755881,94.2814,9.81287,282.96287,55220
4,77.08768224,2537.55782,1774.026585,2420.857869,56.48413612,293.882789,174.1714919,40.20705742,87.0192,7.03268,280.18268,11880
5,61.63239991,5909.571605,3708.634587,2243.975338,159.0564998,235.5639179,84.04068177,19.35767803,90.2143,2.32105,275.47105,27930
6,71.98243267,2515.579653,2229.578658,4084.752997,80.70091675,434.098358,180.0580452,34.62066579,87.8927,3.61737,276.76737,17260
7,1046.895134,968.202214,593.0281883,1720.066549,857.3395804,42.68852147,82.40191586,90.221332,88.4048,4.35676,277.50676,15230
8,2682.127363,890.3576672,115.7978838,720.1716001,2792.798142,95.58321376,60.90931846,233.0620765,88.0491,7.84208,280.99208,27500
9,103.1862348,1152.164222,948.5190683,1725.04579,127.617692,8.123198462,56.53554071,8.290909497,95.9298,2.4047,275.5547,31810
10,544.0364528,818.5412337,402.2210038,1460.211307,232.6008616,57.14059355,40.0497356,47.60103921,84.7387,8.66696,281.81696,6853
11,518.3475587,789.2535901,288.3732422,732.1509346,69.95996626,36.41961603,31.1190007,44.60129906,90.9333,7.66304,280.81304,6902
12,1538.13977,783.9171072,302.7418812,1098.849508,1131.359245,49.70045268,85.09167184,131.9076549,85.7005,3.82139,276.97139,13160
13,212.8814572,1545.359015,2353.623374,4762.673712,130.3222953,122.1776782,130.9065855,22.64427596,77.7522,0.894076,274.044076,9278
14,852.2291501,2883.918679,2244.492158,5683.3791,372.2777613,99.30871488,190.5087782,67.77719892,88.6624,6.35211,279.50211,30860
15,1565.947504,1216.435714,658.9245223,1891.317879,1341.183079,45.93838178,147.6643342,129.9428049,93.2885,4.04037,277.19037,34920
16,154.681072,8.66,4.33,12.9,15.9,8.123198462,3.19,12.53261435,85.891,10.5137,283.6637,263
17,3182.709647,1096.857897,159.0780099,910.1757147,4190.255162,94.90631697,124.7490367,266.9075517,79.8769,6.47534,279.62534,25920
18,1204.150656,582.2503434,103.9064458,698.6580526,1108.498791,54.71892856,79.38575061,100.5053752,83.103,7.35215,280.50215,9474
19,726.7823744,648.884413,537.3097329,2237.959711,426.3020938,67.94348435,80.30527667,64.3380957,86.4255,3.08557,276.23557,10390
20,183.8130466,1391.838795,1264.654853,3247.044554,51.86096377,74.33417327,102.3739023,18.31526305,86.8951,0.484789,273.634789,12620
21,170.6301234,7021.92435,6121.591549,15799.99667,562.6494193,1242.665019,274.3252772,81.15155474,85.6725,0.254921,273.404921,53290
22,3398.588148,889.971274,1193.377836,2089.147696,238.5603548,123.3900723,57.5843922,288.6264742,85.7513,4.44279,277.59279,9495
23,2938.684947,545.7543924,98.8498748,440.8129935,2122.622481,89.22884999,63.0419218,248.3423624,87.4942,3.45297,276.60297,22870
24,1225.516157,642.8611684,197.3188717,963.2612464,775.58557,34.35372396,34.56695195,101.0181752,83.9697,1.91292,275.06292,8822
25,1231.938382,1035.596356,1814.835777,5680.802252,478.5242964,462.356264,102.9371135,118.9261792,70.8426,0.763829,273.913829,7900
26,266.1886446,3492.526541,4359.960686,9562.113652,227.2578045,715.9390545,103.3862115,57.05667744,69.9855,1.82102,274.97102,11570
27,1093.917256,3115.874171,3049.2571,6429.90234,373.916749,215.0127669,87.51471585,107.833714,81.6396,3.19344,276.34344,19220
28,240.6228545,1746.412634,5391.544376,13981.5521,440.4938527,196.3691153,307.2209708,29.69954203,85.6675,5.21103,278.36103,41290
29,138.3207918,1309.259147,1789.287623,4925.56892,143.7569105,98.31490191,114.4959513,17.20425921,87.6015,4.45655,277.60655,19260
30,239.2497349,1767.51743,3274.052632,9283.332374,303.5781971,105.2239993,85.37467624,25.57025881,86.507,3.77539,276.92539,31940
31,822.5275089,578.1711137,341.7859114,1322.876885,370.148267,57.23722809,41.2067687,70.98619926,80.0909,4.82902,277.97902,5526
32,621.4126269,603.3425518,736.4056239,2340.993762,235.623486,38.11098179,76.92027108,52.50418381,91.3383,7.02925,280.17925,15160
33,2596.127629,858.9950939,377.1253571,2306.168813,2129.979805,182.5764885,86.88271321,225.4379896,74.1619,6.95937,280.10937,13210
34,3422.00909,908.2113952,203.7279248,914.8867947,3561.244231,168.4090043,95.14176874,296.1089666,73.8338,5.04833,278.19833,20220
35,2609.8209,1302.560332,1104.406919,5669.179192,1460.7105,553.0561347,115.2700065,247.3922717,60.1359,7.66827,280.81827,11250
36,447.0855019,1361.604356,1556.644569,3871.134073,390.8530477,124.0783168,78.03219811,46.67125798,75.6809,10.0537,283.2037,8016
37,1600.002768,3424.820685,4401.900001,14333.30957,972.0165346,839.2746736,113.9206294,196.993519,53.5228,8.03549,281.18549,10210
38,397.3492883,7150.580901,6583.645596,15785.077,385.2403628,1033.190266,160.1210613,126.3792399,68.7579,6.75863,279.90863,20380
39,264.8738981,3988.537503,6347.292687,20265.43194,217.9790317,1416.213846,187.878203,118.2163077,51.236,12.5717,285.7217,8053
40,622.4991606,8453.091242,10009.61182,26506.35898,690.6795712,1236.295439,166.9819021,136.8818884,76.5054,7.47301,280.62301,46220
41,1055.83443,2807.952242,2742.816572,6442.568089,993.0051684,291.9796669,64.12598256,107.8942476,67.5165,7.11064,280.26064,11190
42,337.6576908,1347.40155,2343.241336,6499.105823,317.1194985,133.2702314,46.45816971,36.36421758,80.5642,5.15606,278.30606,14590
43,1616.050029,840.9651708,1069.083482,2703.231071,1552.425856,126.2172384,153.4953705,147.0158549,82.8656,10.0513,283.2013,16580
44,1535.471441,478.9251399,70.54202576,561.7620865,1107.205771,86.0548597,43.48111976,140.000756,66.917,9.48527,282.63527,4897
