time,ethylbenzene_amean,isoprene_amean,x2_2_4_trimethylpentane_amean,x1_2_3_trimethylbenzene_amean,x1_3_5_trimethylbenzene_amean,n_heptane_amean,m_p_xylene_amean,toluene_amean,n_octane_amean,o_xylene_amean,benzene_amean,x1_2_4_trimethylbenzene_amean
01-Jan-2015 11:00:14,84.479,15.776,NaN,46.743,66.904,43.134,215.667,308.489,37.834,77.779,302.419,122.496
06-Jan-2015 11:00:14,49.177,16.281,33.663,23.684,61.558,51.922,120.748,230.088,56.104,45.604,230.386,51.709
07-Jan-2015 00:59:45,48.422,13.906,33.338,28.925,64.995,51.377,121.539,211.95,52.417,45.563,242.751,59.203
13-Jan-2015 11:00:14,41.794,15.219,30.679,26.362,68.541,37.999,80.709,149.316,35.788,29.745,206.215,50.174
14-Jan-2015 00:59:45,90.887,14.568,30.26,20.275,58.433,32.755,220.374,109.43,27.579,59.711,231.609,43.359
15-Jan-2015 11:00:14,47.46,NaN,NaN,28.495,63.394,36.19,120.12,123.742,40.83,38.584,281.788,52.695
16-Jan-2015 00:59:45,405.153,26.486,30.747,37.63,62.963,42.481,1081.394,146.351,51.352,288.626,278.969,60.126
20-Jan-2015 11:00:14,140.53,17.568,50.351,50.454,34.537,134.037,499.947,1523.484,110.85,188.999,729,159.765
21-Jan-2015 00:59:45,46.932,18.177,8.887,26.159,NaN,56.076,146.507,341.363,67.929,64.242,604.698,56.635
23-Jan-2015 11:00:14,126.523,18.513,29.942,36.314,18.112,83.387,393.882,674.542,62.679,137.684,559.257,129.986
24-Jan-2015 00:59:45,13.77,12.298,10.081,20.999,NaN,25.115,49.56,118.778,37.695,32.296,395.202,47.966
27-Jan-2015 11:00:14,NaN,2.984,38.831,30.19,76.061,56.585,361.523,305.291,50.183,117.805,168.585,77.743
28-Jan-2015 00:59:45,NaN,10.046,8.67,17.86,NaN,10.025,NaN,41.453,40.743,NaN,219.753,24.446
29-Jan-2015 11:00:14,NaN,0.653,31.575,9.983,55.418,27.665,80.441,69.404,10.427,28.291,161.076,32.576
30-Jan-2015 00:59:45,NaN,10.047,NaN,11.995,54.937,52.03,65.704,49.535,122.521,29.392,70.499,34.74
03-Feb-2015 11:00:14,205.729,NaN,31.721,80.613,112.679,56.512,543.445,474.89,46.096,197.601,296.205,191.151
04-Feb-2015 00:59:45,157.225,NaN,12.46,72.697,94.872,45.541,351.95,462.039,50.86,137.194,329.559,120.129
05-Feb-2015 11:00:14,162.591,4.47,24.386,63.093,84.364,51.016,306.91,399.473,39.083,134.477,348.875,114.188
06-Feb-2015 00:59:45,66.023,21.999,NaN,24.395,NaN,61.368,160.919,297.342,77.052,67.831,415.712,77.077
10-Feb-2015 11:00:14,118.898,20.143,28.58,31.128,84.134,87.266,397.163,550.587,170.801,137.264,326.354,113.547
11-Feb-2015 00:59:45,43.372,21.405,14.426,21.372,38.67,61.581,138.198,138.243,122.696,54.852,210.502,64.845
12-Feb-2015 11:00:14,128.311,25.308,48.11,25.76,72.305,85.372,330.577,619.792,79.429,126.75,535.801,89.473
